iter	MAE
0	1007.292094
1	929.3616143
2	868.3866795
3	814.2437903
4	759.9780286
5	714.5717722
6	671.7736375
7	635.1448591
8	602.1011976
9	572.6231996
10	548.712126
11	525.8890013
12	506.4122647
13	488.875566
14	473.7278776
15	461.2439452
16	450.3842711
17	440.2169057
18	430.4686218
19	421.7242618
20	414.3795577
21	407.5838197
22	401.4823326
23	395.8743667
24	390.7805428
25	385.9681823
26	381.731951
27	377.7528145
28	374.0683209
29	371.1470585
30	368.5470967
31	366.4266556
32	364.2921014
33	362.6344627
34	361.2394737
35	359.8860009
36	358.6772679
37	357.2182948
38	356.3047373
39	355.3037169
40	354.3595411
41	353.6384836
42	352.9890601
43	352.4569774
44	351.8454344
45	351.0920106
46	350.4544314
47	350.0791639
48	349.5844447
49	348.9637728
50	348.4444873
51	348.0132726
52	347.5893367
53	347.2195212
54	346.9067727
55	346.6507205
56	346.3472381
57	346.0053706
58	345.6838212
59	345.4722137
60	345.3237558
61	345.0058936
62	344.786104
63	344.5460684
64	344.2108373
65	344.0610635
66	343.9216475
67	343.6568741
68	343.4073738
69	343.1376375
70	342.9492191
71	342.7890947
72	342.6226319
73	342.5372001
74	342.3308242
75	342.1156329
76	341.974226
77	341.8172228
78	341.6891798
79	341.5876813
80	341.4556695
81	341.3613662
82	341.1978004
83	341.1504528
84	340.9586055
85	340.7337482
86	340.6110719
87	340.301161
88	340.0608233
89	340.0000936
90	339.923989
91	339.8026986
92	339.5586483
93	339.2862319
94	339.2630017
95	339.2024732
96	339.1066456
97	338.9131386
98	338.7063909
99	338.5298278
100	338.3508463
101	338.1271263
102	338.0512461
103	337.7699782
104	337.488756
105	337.4055196
106	337.039112
107	336.8474814
108	336.6119341
109	336.4779876
110	336.3694638
111	336.2767388
112	335.9507597
113	335.8504827
114	335.749139
115	335.4921563
116	335.1855372
117	335.0833917
118	334.9288515
119	334.7766771
120	334.6920556
121	334.5699921
122	334.4160107
123	334.2666811
124	334.1374973
125	333.9648277
126	333.9101408
127	333.7163673
128	333.5734429
129	333.5092976
130	333.3273819
131	333.237041
132	333.1198361
133	332.9875318
134	332.9167892
135	332.6986028
136	332.6191457
137	332.5346514
138	332.2979545
139	332.1279535
140	331.9519906
141	331.7907175
142	331.618585
143	331.4162386
144	331.1412294
145	331.0859836
146	330.8576666
147	330.7987956
148	330.7246135
149	330.5978714
150	330.4778773
151	330.2892646
152	330.1260054
153	330.018727
154	329.997234
155	329.7435308
156	329.5850497
157	329.5072533
158	329.4016262
159	329.3325504
160	329.137864
161	329.0468139
162	328.9611132
163	328.8851495
164	328.8622721
165	328.7366743
166	328.5490296
167	328.5351832
168	328.4005681
169	328.1920553
170	328.0820991
171	327.9364283
172	327.8964319
173	327.8796964
174	327.8638503
175	327.8224428
176	327.6615418
177	327.4493796
178	327.3727787
179	327.2759596
180	327.2190477
181	327.1364035
182	327.0801904
183	327.032929
184	326.771191
185	326.6369379
186	326.4950171
187	326.3240491
188	326.2349845
189	326.0879502
190	326.0318948
191	325.8007192
192	325.6583939
193	325.5293382
194	325.4898208
195	325.3869348
196	325.3341306
197	325.2507924
198	325.2026549
199	325.1596415
200	325.1272458
201	325.0533005
202	325.0407471
203	324.9934596
204	324.8978306
205	324.7611538
206	324.6841606
207	324.5235661
208	324.4192179
209	324.1825738
210	324.0683554
211	324.0173365
212	323.9586854
213	323.9305834
214	323.8272989
215	323.7656161
216	323.7227359
217	323.6544787
218	323.4872256
219	323.377344
220	323.3344935
221	323.2957678
222	323.1817961
223	323.021592
224	322.978802
225	322.8515262
226	322.8026626
227	322.7495153
228	322.6051295
229	322.526464
230	322.3148009
231	322.2532828
232	322.0822449
233	322.0576285
234	321.9739008
235	321.9167337
236	321.8629604
237	321.7388727
238	321.5985711
239	321.5131985
240	321.3936384
241	321.2655301
242	321.09885
243	321.0071256
244	320.9670128
245	320.9503311
246	320.8568293
247	320.762295
248	320.6067287
249	320.5643238
250	320.5100333
251	320.2876159
252	320.0949557
253	320.0296318
254	319.9229128
255	319.7563146
