iter	Passed	Remaining
0	5	1484
1	11	1440
2	15	1316
3	20	1267
4	25	1277
5	31	1298
6	35	1261
7	40	1256
8	45	1243
9	49	1222
10	54	1217
11	60	1221
12	64	1213
13	69	1196
14	73	1187
15	79	1185
16	83	1169
17	88	1164
18	92	1154
19	96	1140
20	100	1127
21	106	1129
22	110	1115
23	114	1104
24	118	1098
25	123	1088
26	127	1079
27	130	1064
28	135	1057
29	138	1046
30	142	1034
31	146	1022
32	150	1015
33	154	1006
34	157	994
35	161	985
36	165	977
37	169	972
38	173	962
39	176	953
40	179	943
41	184	940
42	188	933
43	192	925
44	195	917
45	199	912
46	203	905
47	207	898
48	210	890
49	215	886
50	219	882
51	223	877
52	227	869
53	231	867
54	236	862
55	239	853
56	242	847
57	247	845
58	251	841
59	255	835
60	260	832
61	265	832
62	270	828
63	274	822
64	278	819
65	284	819
66	288	814
67	294	814
68	298	809
69	302	804
70	306	799
71	312	797
72	315	791
73	319	786
74	324	782
75	329	779
76	333	775
77	337	769
78	342	766
79	346	761
80	350	756
81	353	750
82	358	746
83	361	740
84	365	734
85	368	729
86	373	725
87	377	721
88	381	715
89	385	711
90	390	707
91	394	702
92	397	696
93	401	692
94	405	687
95	409	681
96	412	676
97	416	671
98	421	668
99	426	666
100	430	661
101	434	656
102	438	651
103	442	646
104	446	641
105	449	636
106	454	632
107	457	627
108	461	622
109	465	617
110	470	614
111	474	610
112	478	605
113	482	601
114	487	597
115	491	593
116	494	588
117	500	584
118	503	579
119	507	574
120	510	569
121	515	566
122	519	561
123	522	556
124	526	551
125	530	547
126	534	542
127	538	538
128	542	533
129	546	529
130	550	525
131	553	520
132	557	515
133	562	512
134	566	507
135	569	502
136	573	497
137	577	493
138	581	489
139	584	484
140	588	479
141	592	475
142	596	471
143	600	466
144	603	462
145	607	457
146	611	453
147	615	448
148	618	444
149	622	439
150	626	435
151	630	431
152	634	427
153	637	422
154	642	418
155	646	414
156	650	410
157	653	405
158	659	402
159	663	398
160	667	393
161	671	389
162	675	385
163	679	381
164	682	376
165	687	372
166	691	368
167	694	364
168	698	359
169	702	355
170	706	351
171	710	346
172	713	342
173	716	337
174	720	333
175	724	329
176	727	324
177	731	320
178	735	316
179	739	312
180	743	308
181	747	303
182	751	299
183	755	295
184	758	291
185	762	286
186	767	283
187	771	278
188	775	274
189	779	270
190	783	266
191	787	262
192	791	258
193	795	254
194	800	250
195	803	246
196	807	241
197	811	237
198	815	233
199	819	229
200	823	225
201	827	221
202	831	217
203	835	213
204	839	208
205	843	204
206	849	200
207	853	197
208	858	192
209	863	189
210	868	185
211	872	181
212	876	177
213	881	172
214	884	168
215	888	164
216	892	160
217	896	156
218	899	152
219	903	147
220	907	143
221	911	139
222	914	135
223	918	131
224	922	127
225	926	122
226	929	118
227	933	114
228	937	110
229	941	106
230	946	102
231	949	98
232	953	94
233	958	90
234	961	85
235	965	81
236	968	77
237	973	73
238	976	69
239	980	65
240	984	61
241	988	57
242	992	53
243	995	48
244	999	44
245	1002	40
246	1006	36
247	1010	32
248	1013	28
249	1017	24
250	1021	20
251	1025	16
252	1029	12
253	1032	8
254	1037	4
255	1042	0
