iter	MAE
0	1007.264877
1	928.6117099
2	869.2592245
3	814.2915108
4	760.1438393
5	714.352042
6	671.9805006
7	634.7375587
8	601.5083743
9	574.5487386
10	548.9673283
11	525.707477
12	505.5514879
13	488.270606
14	472.8842196
15	459.9148813
16	449.02847
17	438.8305168
18	429.6226501
19	420.7219978
20	412.8987967
21	406.0608292
22	399.8857328
23	394.1142538
24	389.0105993
25	384.209007
26	380.1002505
27	376.4616403
28	373.2022373
29	370.0186862
30	367.299536
31	364.9845561
32	363.3160257
33	361.5627559
34	359.7587129
35	358.0162039
36	356.6651555
37	355.4032921
38	354.2681863
39	353.4311768
40	352.4933913
41	351.7333765
42	351.1911261
43	350.4860701
44	349.7575354
45	349.0485422
46	348.5371175
47	348.1301003
48	347.731472
49	347.1755151
50	346.5970526
51	346.1300057
52	345.7282409
53	345.3132982
54	345.0092377
55	344.6479358
56	344.2706385
57	343.9416033
58	343.810451
59	343.6712207
60	343.3439915
61	343.0972875
62	342.8239658
63	342.6638566
64	342.3990717
65	342.2964097
66	342.168506
67	341.9691013
68	341.8040451
69	341.554275
70	341.2640245
71	341.0444324
72	340.9089949
73	340.7127216
74	340.5359189
75	340.3536347
76	340.1767292
77	340.0889967
78	339.8645459
79	339.6235709
80	339.5520627
81	339.4200858
82	339.1981355
83	338.9368656
84	338.707442
85	338.5190858
86	338.396927
87	338.3243148
88	338.2068685
89	338.1202761
90	337.9324167
91	337.6177339
92	337.4662727
93	337.2982394
94	337.12462
95	336.9302119
96	336.7497597
97	336.5456354
98	336.4436476
99	336.2535947
100	336.1469295
101	336.0063198
102	335.91367
103	335.8447391
104	335.7312139
105	335.6197497
106	335.2548099
107	335.0605568
108	334.7643518
109	334.5174985
110	334.4418423
111	334.2276308
112	334.0981926
113	333.8532665
114	333.5715223
115	333.3487861
116	332.9751021
117	332.850979
118	332.6836785
119	332.5425105
120	332.4305182
121	332.2911474
122	332.110727
123	331.7996741
124	331.6009863
125	331.3870459
126	331.1889896
127	331.0473471
128	330.8567951
129	330.6995569
130	330.5253301
131	330.4382057
132	330.2734844
133	330.1108451
134	329.9243643
135	329.8549913
136	329.730501
137	329.5462181
138	329.4176128
139	329.3305018
140	329.1730957
141	329.0802344
142	328.9398737
143	328.6835846
144	328.5578881
145	328.4082847
146	328.1895354
147	328.1028106
148	327.8508442
149	327.6513151
150	327.5681268
151	327.3795442
152	327.2837959
153	327.203065
154	327.1263086
155	327.0828082
156	327.0271363
157	326.9465092
158	326.6410916
159	326.490802
160	326.295181
161	326.0765122
162	325.8961408
163	325.8282042
164	325.7438076
165	325.5303262
166	325.3342944
167	325.1115283
168	324.9694222
169	324.8284632
170	324.7551688
171	324.607713
172	324.5319533
173	324.2741633
174	324.2138802
175	323.9758155
176	323.8047458
177	323.6845227
178	323.5720544
179	323.4727627
180	323.2907086
181	323.2494558
182	323.1641303
183	323.0590534
184	322.8927527
185	322.8377823
186	322.5605136
187	322.4361167
188	322.3402363
189	322.2996724
190	322.1060007
191	322.0469502
192	321.9556421
193	321.8431244
194	321.7024982
195	321.6613475
196	321.5716348
197	321.3540259
198	321.2261529
199	321.0716215
200	321.0013154
201	320.9642731
202	320.8959813
203	320.8016898
204	320.7353694
205	320.5819406
206	320.4493838
207	320.3566512
208	320.2977827
209	320.2150466
210	320.0942438
211	319.9624257
212	319.9092073
213	319.7142784
214	319.6667626
215	319.6223789
216	319.5396982
217	319.5241545
218	319.3999992
219	319.2417113
220	319.1882981
221	319.049075
222	318.9341365
223	318.8509213
224	318.7659173
225	318.616314
226	318.549116
227	318.4833491
228	318.2528298
229	318.1628537
230	317.9871198
231	317.8454941
232	317.75258
233	317.6589745
234	317.5408635
235	317.4720074
236	317.3171164
237	317.1626778
238	317.1267748
239	317.0298323
240	316.9051244
241	316.8034945
242	316.7650724
243	316.6153297
244	316.5579477
245	316.505437
246	316.4498392
247	316.4029166
248	316.3347401
249	316.2907986
250	316.0699761
251	316.0069304
252	315.8684166
253	315.8147362
254	315.7282221
255	315.6839287
