iter	Passed	Remaining
0	4	1059
1	8	1031
2	11	1010
3	18	1165
4	22	1144
5	26	1113
6	32	1157
7	36	1134
8	40	1109
9	46	1138
10	50	1128
11	54	1114
12	60	1130
13	64	1122
14	69	1116
15	74	1123
16	79	1114
17	83	1102
18	87	1095
19	92	1097
20	96	1085
21	101	1074
22	106	1083
23	111	1074
24	114	1060
25	119	1058
26	123	1048
27	127	1034
28	130	1022
29	136	1026
30	140	1016
31	143	1004
32	147	995
33	151	991
34	155	983
35	159	972
36	164	972
37	168	969
38	173	964
39	178	962
40	182	958
41	187	952
42	191	949
43	196	947
44	200	941
45	205	936
46	212	942
47	216	939
48	224	948
49	228	943
50	233	937
51	239	940
52	243	934
53	248	929
54	270	989
55	274	981
56	278	973
57	284	971
58	288	961
59	290	947
60	293	938
61	299	937
62	304	933
63	309	927
64	315	927
65	319	919
66	323	911
67	328	908
68	332	902
69	336	895
70	341	889
71	346	884
72	349	877
73	353	870
74	359	868
75	363	861
76	367	854
77	372	849
78	376	842
79	380	836
80	383	828
81	388	824
82	392	817
83	395	810
84	399	803
85	404	800
86	408	793
87	411	786
88	415	780
89	420	775
90	424	769
91	427	762
92	433	760
93	437	754
94	441	748
95	446	743
96	451	740
97	455	734
98	459	728
99	465	726
100	469	720
101	474	716
102	479	711
103	482	705
104	485	698
105	490	694
106	494	688
107	498	682
108	501	676
109	508	674
110	511	668
111	515	663
112	521	660
113	526	655
114	530	650
115	535	646
116	539	641
117	543	635
118	546	629
119	551	625
120	555	619
121	559	614
122	562	608
123	567	604
124	571	598
125	574	593
126	579	588
127	583	583
128	587	577
129	590	572
130	596	568
131	600	563
132	604	558
133	608	554
134	614	550
135	617	545
136	621	540
137	627	536
138	630	531
139	634	525
140	638	521
141	643	516
142	647	511
143	652	507
144	658	503
145	662	499
146	667	494
147	673	491
148	678	487
149	685	484
150	690	480
151	696	476
152	702	472
153	706	468
154	711	463
155	716	459
156	721	454
157	726	450
158	732	446
159	736	441
160	741	437
161	746	433
162	750	428
163	755	423
164	760	419
165	764	414
166	768	409
167	773	405
168	777	400
169	781	395
170	785	390
171	790	385
172	793	380
173	797	375
174	802	371
175	806	366
176	810	361
177	813	356
178	818	352
179	822	347
180	825	342
181	830	337
182	834	332
183	837	327
184	841	322
185	846	318
186	850	313
187	854	308
188	857	304
189	862	299
190	866	294
191	869	289
192	874	285
193	878	280
194	882	275
195	885	271
196	890	266
197	894	262
198	898	257
199	902	252
200	908	248
201	911	243
202	915	239
203	920	234
204	923	229
205	927	225
206	931	220
207	936	216
208	940	211
209	943	206
210	947	202
211	952	197
212	956	193
213	959	188
214	964	183
215	968	179
216	971	174
217	975	169
218	981	165
219	985	161
220	989	156
221	994	152
222	998	147
223	1002	143
224	1006	138
225	1012	134
226	1016	129
227	1021	125
228	1027	121
229	1032	116
230	1038	112
231	1043	107
232	1047	103
233	1051	98
234	1056	94
235	1059	89
236	1063	85
237	1069	80
238	1073	76
239	1077	71
240	1083	67
241	1087	62
242	1091	58
243	1096	53
244	1101	49
245	1104	44
246	1108	40
247	1114	35
248	1118	31
249	1121	26
250	1127	22
251	1131	17
252	1135	13
253	1140	8
254	1145	4
255	1149	0
